"Date","Description","ChkRef","Amount","Balance"
10/04/2023,XX7834 POS PURCHASE CHICK-FIL-A #048 501-436-6146 AR 1 047674,,-$8.56,"$10,913.33"
10/04/2023,XX7834 POS PURCHASE JERSEY MIKES ONL 732-223-4044 NJ 00000000 067527,,-$10.12,"$10,903.21"
10/05/2023,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 35020665 020665,,-$18.69,"$10,884.52"
10/06/2023,XX7834 POS PURCHASE WESTROCK ANIMAL LITTLE ROCK AR 04348920 315894,,-$82.92,"$10,801.60"
10/10/2023,XX7834 POS PURCHASE Subway 27464 Little Rock AR 75475887 075585,,-$9.15,"$10,792.45"
10/10/2023,XX7834 POS PURCHASE McDonalds 34293 150-1821038 AR 00000000 038494,,-$9.93,"$10,782.52"
10/10/2023,XX7834 POS PURCHASE CHICK-FIL-A #048 501-436-6146 AR 1 074939,,-$10.68,"$10,771.84"
10/10/2023,XX7834 POS PURCHASE ZAXBY'S #50103 LITTLE ROCK AR 00000000 013332,,-$13.18,"$10,758.66"
10/10/2023,XX7834 POS PURCHASE JERSEY MIKES ONL 732-223-4044 NJ 00000000 043110,,-$19.69,"$10,738.97"
10/10/2023,XX7834 POS PURCHASE TODDY TOBACCO & LITTLE ROCK AR 96452424 550883,,-$27.27,"$10,711.70"
10/10/2023,XX7834 POS PURCHASE COSTCO GAS #1442 LITTLE ROCK AR 93144213 061536,,-$29.14,"$10,682.56"
10/10/2023,XX7834 POS PURCHASE M&M MART LITTLE ROCK AR 10908801 899444,,-$30.51,"$10,652.05"
10/10/2023,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 32715580 015580,,-$45.45,"$10,606.60"
10/11/2023,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 34805629 005629,,-$31.04,"$10,575.56"
10/12/2023,XX7834 POS PURCHASE APPLE.COM/BILL 866-712-7753 CA 00000000 049949,,-$0.99,"$10,574.57"
10/13/2023,TELCOE FEDERAL C PAYROLL 04259800047872X,,"$1,286.16","$11,860.73"
10/13/2023,XX7834 POS PURCHASE JIMMY JOHNS - 15 501-372-1600 AR 62092015 092015,,-$11.15,"$11,849.58"
10/16/2023,XX7834 POS PURCHASE DAVIDS BURGERS B LITTLE ROCK AR 00001336 000405,,-$10.49,"$11,839.09"
10/16/2023,XX7834 POS PURCHASE CHICK-FIL-A #048 501-436-6146 AR 1 061190,,-$10.68,"$11,828.41"
10/16/2023,XX7834 POS PURCHASE SONIC #1168 999-999-9999 AR 1 095466,,-$18.28,"$11,810.13"
10/16/2023,XX7834 POS PURCHASE TODDY TOBACCO & LITTLE ROCK AR 96452424 277019,,-$27.27,"$11,782.86"
10/16/2023,XX7834 POS PURCHASE BWW 3449 LITTLE 501-8685279 AR 32663729 034155,,-$46.98,"$11,735.88"
10/17/2023,XX7834 POS PURCHASE JIMMY JOHNS - 15 501-372-1600 AR 45916322 016322,,-$11.15,"$11,724.73"
10/17/2023,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 34693926 093926,,-$31.92,"$11,692.81"
10/18/2023,XX7834 POS PURCHASE Subway 27464 Little Rock AR 75475887 067585,,-$15.91,"$11,676.90"
10/18/2023,XX7834 POS PURCHASE M&M MART LITTLE ROCK AR 10908801 525116,,-$30.52,"$11,646.38"
10/18/2023,XX7834 POS PURCHASE COSTCO GAS #1442 LITTLE ROCK AR 93144213 460951,,-$34.67,"$11,611.71"
10/19/2023,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 34324662 024662,,-$27.79,"$11,583.92"
10/23/2023,XX7834 POS PURCHASE JIMMY JOHNS - 15 501-372-1600 AR 66685004 085004,,-$1.98,"$11,581.94"
10/23/2023,XX7834 POS PURCHASE APPLE.COM/BILL 866-712-7753 CA 00000000 081271,,-$5.36,"$11,576.58"
10/23/2023,XX7834 POS PURCHASE McDonalds 34293 150-1821038 AR 00000000 040494,,-$6.24,"$11,570.34"
10/23/2023,XX7834 POS PURCHASE JERSEY MIKES ONL 732-223-4044 NJ 00000000 006336,,-$11.12,"$11,559.22"
10/23/2023,XX7834 POS PURCHASE SLIM CHICKENS ST LITTLE ROCK AR 00005375 014364,,-$11.60,"$11,547.62"
10/23/2023,XX7834 POS PURCHASE APPLE.COM/BILL 800-275-2273 CA 00000000 063672,,-$26.86,"$11,520.76"
10/23/2023,XX7834 POS PURCHASE COSTCO GAS #1442 LITTLE ROCK AR 93144213 482882,,-$28.36,"$11,492.40"
10/23/2023,XX7834 POS PURCHASE TODDY TOBACCO & LITTLE ROCK AR 96452424 295572,,-$28.36,"$11,464.04"
10/23/2023,XX7834 POS PURCHASE DOMINO'S 5327 501-247-7856 AR 00000000 095312,,-$29.38,"$11,434.66"
10/23/2023,XX7834 ATM WITHDRAWAL STONE BANK Little Rock AR AR000543 000580,,-$100.00,"$11,334.66"
10/23/2023,ATM SURCHARGE XX7834 ATM WITHDRAWAL STONE BANK Little Rock AR AR000543 000580,,-$2.00,"$11,332.66"
10/23/2023,FEE FOR ATM WITHDRAWAL STONE BANK Little Rock AR AR000543 000580,,-$2.50,"$11,330.16"
10/24/2023,XX7834 POS PURCHASE JIMMY JOHNS - 15 501-372-1600 AR 45944688 044688,,-$9.93,"$11,320.23"
10/26/2023,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 35040846 040846,,-$21.73,"$11,298.50"
10/26/2023,XX7834 POS PURCHASE 1067 GREAT CLIPS LITTLE ROCK AR 03190274 055721,,-$25.00,"$11,273.50"
10/30/2023,XX7834 POS PURCHASE WALGREENS STORE LITTLE ROCK AR 99999999 117367,,-$6.51,"$11,266.99"
10/30/2023,XX7834 POS PURCHASE TODDY TOBACCO & LITTLE ROCK AR 96452424 413323,,-$10.45,"$11,256.54"
10/30/2023,XX7834 POS PURCHASE JIMMY JOHNS - 15 501-372-1600 AR 91495890 095890,,-$11.15,"$11,245.39"
10/31/2023,TELCOE FEDERAL C PAYROLL 04465000014892X,,"$1,286.16","$12,531.55"
10/31/2023,XX7834 POS PURCHASE JIMMY JOHNS - 15 501-372-1600 AR 45438418 038418,,-$9.17,"$12,522.38"
10/31/2023,XX7834 POS PURCHASE JERSEY MIKES ONL 732-223-4044 NJ 00000000 002688,,-$11.12,"$12,511.26"
11/01/2023,XX7834 POS PURCHASE COSTCO GAS #1442 LITTLE ROCK AR 93144213 253330,,-$26.39,"$12,484.87"
11/06/2023,XX7834 POS PURCHASE DAIRY QUEEN #459 LITTLE ROCK AR 00008632 000098,,-$7.18,"$12,477.69"
11/06/2023,XX7834 POS PURCHASE POPEYES #12974 LITTLE ROCK AR 00006169 010926,,-$11.05,"$12,466.64"
11/06/2023,XX7834 POS PURCHASE JIMMY JOHNS - 15 501-372-1600 AR 66894440 094440,,-$11.15,"$12,455.49"
11/06/2023,XX7834 POS PURCHASE WALGREENS STORE LITTLE ROCK AR 99999999 314551,,-$13.01,"$12,442.48"
11/06/2023,XX7834 POS PURCHASE M&M MART LITTLE ROCK AR 10908801 519668,,-$26.15,"$12,416.33"
11/06/2023,XX7834 POS PURCHASE POPEYES 13105 LITTLE ROCK AR 00004976 010179,,-$34.69,"$12,381.64"
11/06/2023,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 32482777 082777,,-$65.62,"$12,316.02"
11/07/2023,XX7834 POS PURCHASE JIMMY JOHNS - 15 501-372-1600 AR 50334833 034833,,-$11.15,"$12,304.87"
11/08/2023,XX7834 POS PURCHASE FIREHOUSE SUBS 0 LITTLE ROCK AR 59984844 084844,,-$12.04,"$12,292.83"
11/13/2023,XX7834 POS PURCHASE POPEYES #12974 LITTLE ROCK AR 00006169 010096,,-$11.83,"$12,281.00"
11/13/2023,XX7834 POS PURCHASE JIMMY JOHNS - 15 501-372-1600 AR 66939559 039559,,-$14.46,"$12,266.54"
11/14/2023,XX7834 POS PURCHASE COSTCO GAS #1442 LITTLE ROCK AR 93144213 064146,,-$25.94,"$12,240.60"
11/14/2023,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 33618197 018197,,-$30.20,"$12,210.40"
11/15/2023,TELCOE FEDERAL C PAYROLL 04666600012925X,,"$1,286.16","$13,496.56"
11/15/2023,XX7834 POS PURCHASE CHICK-FIL-A #048 501-436-6146 AR 1 080099,,-$5.96,"$13,490.60"
11/20/2023,XX7834 POS PURCHASE EXPRESSWAY FORDY FORDYCE AR 77646821 020205,,-$2.19,"$13,488.41"
11/20/2023,XX7834 POS PURCHASE DAVIDS BURGERS B LITTLE ROCK AR 00001336 000668,,-$10.49,"$13,477.92"
11/20/2023,XX7834 POS PURCHASE JIMMY JOHNS - 15 501-372-1600 AR 65773538 073538,,-$14.46,"$13,463.46"
11/20/2023,XX7834 POS PURCHASE SONIC #1168 999-999-9999 AR 1 079982,,-$16.74,"$13,446.72"
11/20/2023,XX7834 POS PURCHASE EXPRESS WAY FORDYCE AR 11284701 114965,,-$20.67,"$13,426.05"
